0	1	0	Q114	8	1	20
0	1	0	Q855	12	1	20
0	1	0	Q643	15	1	20
0	1	0	Q987	18	1	20
0	1	0	Q996	21	1	20
0	1	1	G913	9	1	50
0	1	1	K145	13	1	50
0	1	1	G654	16	1	50
0	1	1	G21	19	1	50
0	1	1	G3	22	1	50
0	2	0	Q298	6	7	140
0	2	0	Q302	11	7	140
0	2	0	Q812	15	7	140
0	2	0	Q382	17	7	140
0	2	1	G764	5	4	200
0	2	1	G21	10	2	100
0	2	1	G427	13	2	100
0	2	1	G891	16	4	200
0	2	1	G795	20	4	200
0	2	1	G400	22	2	100
0	2	2	F73	11	2	400
0	2	2	F427	14	2	400
0	2	2	F439	17	2	400
0	2	2	F841	19	2	400
0	4	0	Q509	6	8	160
0	4	0	Q970	9	8	160
0	4	0	Q549	13	8	160
0	4	0	Q345	16	8	160
0	4	1	G207	7	3	150
0	4	1	G154	10	6	300
0	4	1	G843	12	6	300
0	4	1	G436	16	3	150
0	4	1	G459	18	3	150
0	4	1	G146	21	3	150
0	4	2	F417	8	2	400
0	4	2	F527	11	2	400
0	4	2	F376	13	2	400
0	4	2	F145	17	2	400
0	4	2	F539	19	2	400
0	9	0	Q743	6	8	160
0	9	0	Q356	9	8	160
0	9	0	Q843	13	8	160
0	9	0	Q110	16	8	160
0	9	1	G310	7	3	150
0	9	1	G137	10	6	300
0	9	1	G879	12	6	300
0	9	1	G940	16	3	150
0	9	1	G236	18	3	150
0	9	1	G421	21	3	150
0	9	2	F553	8	2	400
0	9	2	F305	11	2	400
0	9	2	F775	13	2	400
0	9	2	F247	17	2	400
0	9	2	F329	19	2	400
1	2	0	Q934	6	7	140
1	2	0	Q829	11	7	140
1	2	0	Q734	15	7	140
1	2	0	Q452	17	7	140
1	2	1	G939	5	4	200
1	2	1	G455	10	2	100
1	2	1	G580	13	2	100
1	2	1	G280	16	4	200
1	2	1	G298	20	4	200
1	2	1	G169	22	2	100
1	2	2	F491	11	2	400
1	2	2	F62	14	2	400
1	2	2	F89	17	2	400
1	2	2	F655	19	2	400
1	2	2	F951	21	2	400
1	9	0	Q731	7	6	120
1	9	0	Q344	9	6	120
1	9	0	Q234	13	6	120
1	9	0	Q452	15	6	120
1	9	1	G87	10	4	200
1	9	1	G924	15	2	100
1	9	1	G866	17	4	200
1	9	1	G865	19	2	100
1	9	1	G619	20	2	100
1	9	1	G516	22	4	200
1	9	2	F334	11	2	400
1	9	2	F478	14	2	400
1	9	2	F644	18	2	400
1	9	2	F10	21	2	400
1	9	2	F427	5	2	400
2	9	0	Q146	7	6	120
2	9	0	Q181	9	6	120
2	9	0	Q756	13	6	120
2	9	0	Q138	15	6	120
2	9	1	G543	10	4	200
2	9	1	G444	15	2	100
2	9	1	G148	17	4	200
2	9	1	G517	19	2	100
2	9	1	G498	20	2	100
2	9	1	G947	22	4	200
2	9	2	F604	11	2	400
2	9	2	F234	14	2	400
2	9	2	F470	18	2	400
2	9	2	F450	21	2	400
2	9	2	F14	5	2	400
2	4	0	Q168	7	4	80
2	4	0	Q400	10	4	80
2	4	0	Q915	15	4	80
2	4	0	Q147	17	4	80
2	4	1	G282	7	2	100
2	4	1	G57	11	3	150
2	4	1	G94	13	2	100
2	4	1	G514	16	2	100
2	4	1	G139	18	3	150
2	4	1	G559	20	2	100
2	4	2	F735	7	1	200
2	4	2	F611	9	1	200
2	4	2	F625	12	1	200
2	4	2	F309	16	1	200
2	4	2	F516	19	1	200
2	7	0	Q221	7	4	80
2	7	0	Q36	10	4	80
2	7	0	Q756	15	4	80
2	7	0	Q915	17	4	80
2	7	1	G741	7	2	100
2	7	1	G145	11	3	150
2	7	1	G457	13	2	100
2	7	1	G276	16	2	100
2	7	1	G848	18	3	150
2	7	1	G546	20	2	100
2	7	2	F265	7	1	200
2	7	2	F666	9	1	200
2	7	2	F418	12	1	200
2	7	2	F624	16	1	200
2	7	2	F379	19	1	200
2	5	0	Q480	8	3	60
2	5	0	Q648	11	3	60
2	5	0	Q356	16	3	60
2	5	0	Q589	18	3	60
2	5	1	G993	8	1	50
2	5	1	G19	12	2	100
2	5	1	G25	14	1	50
2	5	1	G114	17	2	100
2	5	1	G761	19	1	50
2	5	1	G918	21	1	50
2	5	2	F39	8	1	200
2	5	2	F602	10	1	200
2	5	2	F730	13	1	200
2	5	2	F906	17	1	200
2	5	2	F188	20	1	200
5	7	0	Q938	8	5	100
5	7	0	Q289	11	5	100
5	7	0	Q912	16	5	100
5	7	0	Q99	18	5	100
5	7	1	G709	8	2	100
5	7	1	G667	12	3	150
5	7	1	G671	14	2	100
5	7	1	G922	17	2	100
5	7	1	G539	19	2	100
5	7	1	G642	21	2	100
5	7	2	F374	8	1	200
5	7	2	F118	10	1	200
5	7	2	F882	13	1	200
5	7	2	F397	17	1	200
5	7	2	F980	20	1	200
5	6	0	Q666	7	5	100
5	6	0	Q282	10	5	100
5	6	0	Q150	15	5	100
5	6	0	Q718	17	5	100
5	6	1	G760	7	2	100
5	6	1	G381	11	3	150
5	6	1	G941	13	2	100
5	6	1	G457	16	2	100
5	6	1	G543	18	2	100
5	6	1	G111	20	2	100
5	6	2	F46	7	1	200
5	6	2	F841	9	1	200
5	6	2	F270	12	1	200
5	6	2	F842	16	1	200
5	6	2	F326	19	1	200
5	8	0	Q737	8	8	160
5	8	0	Q440	11	8	160
5	8	0	Q469	16	8	160
5	8	0	Q76	18	8	160
5	8	1	G796	8	3	150
5	8	1	G440	12	6	300
5	8	1	G262	14	3	150
5	8	1	G21	17	6	300
5	8	1	G147	19	3	150
5	8	1	G254	21	3	150
5	8	2	F701	8	2	400
5	8	2	F840	10	2	400
5	8	2	F640	13	2	400
5	8	2	F835	17	2	400
5	8	2	F275	20	2	400
6	7	0	Q84	7	7	140
6	7	0	Q722	10	7	140
6	7	0	Q169	15	7	140
6	7	0	Q556	17	7	140
6	7	1	G526	7	3	150
6	7	1	G922	11	5	250
6	7	1	G951	13	3	150
6	7	1	G961	16	5	250
6	7	1	G255	18	5	250
6	7	1	G5	20	3	150
6	7	2	F324	7	2	400
6	7	2	F312	9	2	400
6	7	2	F46	12	2	400
6	7	2	F27	16	2	400
6	7	2	F329	19	2	400
6	8	0	Q287	8	7	140
6	8	0	Q922	11	7	140
6	8	0	Q560	16	7	140
6	8	0	Q508	18	7	140
6	8	1	G319	8	3	150
6	8	1	G659	12	5	250
6	8	1	G321	14	3	150
6	8	1	G138	17	5	250
6	8	1	G134	19	5	250
6	8	1	G313	21	3	150
6	8	2	F193	8	2	400
